48	▼ -3	Greg & Charlie - The Apex Predators	2172	108	152	133	160	127	139	108	104	116	166	116	116	105	164	133	128	97
49	▲ 2	Trent - Cincy3way	2164	107	169	133	124	153	203	124	117	82	147	142	115	147	83	148	60	110
50	▼ -9	Jacen - Dr4gons	2157	137	118	175	173	53	191	113	122	146	61	163	85	122	148	143	162	45
51	▼ -9	Renee - Speedway Ray	2146	134	138	140	161	132	142	122	142	113	94	158	115	117	138	129	126	45
52	▲ 3	Nicki - Kiwi management	2144	114	154	129	107	112	195	170	119	92	148	136	113	56	104	110	159	126
53	▲ 3	Matthew - Cars with Stripes Go Faster	2143	170	97	91	64	98	154	111	149	134	135	72	106	195	150	147	140	130
54	▼ -7	Jeffrey - Prime47Boiler	2142	115	160	157	160	95	196	124	136	119	139	57	44	140	178	117	120	85
55	▲ 4	Michael - Double Ritz	2120	123	105	122	100	131	155	87	117	52	167	135	109	151	139	108	174	145
56	▼ -6	Lincoln  - Andretti makes Penske’s Johnson Trickle	2101	141	169	47	169	139	171	135	52	124	161	148	106	137	171	126	60	45
57	▼ -5	John - TeamSlim	2093	73	171	137	64	138	199	135	90	128	159	167	147	85	94	159	102	45
58	▲ 0	Scott - Gas Man Tom Sneva	2090	132	169	124	166	77	209	96	112	97	86	170	92	129	111	95	121	104
59	▲ 1	Justin - FreeHotCarl	2088	125	182	114	158	125	175	98	98	162	97	182	54	88	144	108	60	118
60	▲ 2	Matthew - OG Lysdexia	2086	115	179	47	64	91	201	50	114	110	132	115	99	140	158	155	154	162
61	▲ 3	Mike - PRI Racing	2086	116	177	174	125	93	188	104	90	107	135	57	44	56	124	174	120	202
62	▼ -1	Joe - SPIN TO WIN	2081	57	172	142	64	132	191	81	110	118	106	118	116	103	141	132	145	153
63	▼ -9	Sam - SamAyersMotorsports	2075	96	172	77	64	130	162	162	117	139	98	132	122	130	145	158	126	45
64	▲ 5	Johanna - OG Lysdexia’s ifWe	2001	165	184	47	64	134	208	50	114	52	144	131	143	56	43	149	142	175
65	▲ 0	Chris - No Attack No Chance	1991	83	112	111	107	122	146	107	130	156	106	117	138	140	73	112	116	115
66	▲ 0	Martina - Left Turn Louise	1979	57	179	103	124	128	86	131	141	108	138	143	88	137	43	180	60	133
67	▲ 3	Jenna - Brickyard Bandit	1968	133	125	95	117	135	143	90	98	124	88	117	118	70	94	123	151	147
68	▼ -5	Wesley - Molar Madness	1939	146	49	146	143	117	184	105	111	126	145	107	131	56	135	133	60	45
69	▼ -2	Mallory - The Ice Woman	1883	107	190	47	64	93	166	127	110	120	146	114	112	157	168	57	60	45
70	▼ -2	Sarah - Brickyard Bandits	1878	57	49	92	136	125	178	142	131	94	124	137	119	141	94	154	60	45
71	▲ 6	John - Stud Muffin	1824	137	109	127	117	118	171	50	167	118	82	57	44	56	108	86	123	154
72	▼ -1	Eli - Team Zach Smith Sucks	1823	162	143	133	80	135	167	96	52	118	171	57	44	56	130	174	60	45
73	▼ -1	Devon - Fully Bricked	1795	117	117	111	115	84	158	128	139	52	92	57	44	125	130	151	130	45
74	▼ -1	Tracy - Life is a Highway	1793	140	110	109	150	130	143	144	106	71	84	92	95	109	103	57	105	45
75	▲ 1	Haley - Haley's Comets	1770	106	159	118	117	53	188	100	132	125	102	57	44	56	156	57	107	93
76	▼ -2	Mike - Prach Motors	1764	152	184	125	137	165	86	144	110	52	167	57	44	56	43	137	60	45
77	▼ -2	Bryce - Fuzzy’s Grandstand	1723	163	121	116	134	118	181	94	52	145	96	57	44	56	103	138	60	45
78	▲ 0	Jonathan - DoitforDale	1701	144	195	132	132	53	177	101	91	83	61	57	44	112	129	85	60	45
79	▲ 0	Christopher - Need for Speed	1604	117	177	112	64	178	188	86	133	52	108	57	44	83	43	57	60	45
80	▲ 0	Mary - Jazz Racing	1528	147	153	113	140	53	179	90	77	52	162	57	44	56	43	57	60	45
81	▲ 0	Clark - Powering the Will to Win	1485	142	179	103	158	114	148	114	52	52	61	57	44	56	43	57	60	45
82	▲ 2	Edye - Best Regards🌹	1407	86	49	126	145	53	86	141	52	99	61	57	44	56	43	57	60	192
83	▼ -1	Tom - Open Wheel Mercenary	1367	151	143	47	143	128	86	50	52	144	61	57	44	56	43	57	60	45
84	▼ -1	Roy  - Breakfast at Charlie Browns	1261	165	190	126	64	53	86	50	52	52	61	57	44	56	43	57	60	45
85	▲ 0	Patrick - Katherine Legge’s Fan	1233	132	195	126	64	53	86	50	52	52	61	57	44	56	43	57	60	45
86	▲ 0	Chase - Katherine crashed on the 3rd legge	1155	105	142	47	64	53	167	50	52	52	61	57	44	56	43	57	60	45
87	▲ 0	Matt - FastFeathers	1144	148	169	47	64	53	86	50	52	52	61	57	44	56	43	57	60	45
88	▲ 0	Anthony - Pato's Pitcrew	966	90	49	47	64	53	86	50	52	52	61	57	44	56	43	57	60	45
89	▲ 0	Adam - Smoke and mirrors	933	57	49	47	64	53	86	50	52	52	61	57	44	56	43	57	60	45
